layout,order,N,gflops,l1_miss,seconds
cm,kij, 20, 2.8875654214040787,51.0,5.541e-06
cm,kij, 200, 2.4375915620330493,523662.0,0.006563856
cm,kij, 2000, 1.0148874123764413,16026547413.0,15.765295544
cm,kij, 30, 2.8875654214040787,51.0,5.541e-06
cm,kij, 300, 2.279206896778772,1872307.0,0.023692452
cm,kij, 3000, 1.1832225571729635,54011468661.0,45.638075164
cm,kij, 40, 4.329150742381709,312.0,2.9567e-05
cm,kij, 400, 3.2213271993894583,64611916.0,0.039735175
cm,kij, 50, 4.329150742381709,312.0,2.9567e-05
cm,kij, 500, 5.228223018594447,8190773.0,0.047817394
cm,kij, 60, 4.329150742381709,312.0,2.9567e-05
cm,kij, 600, 2.2589793015374044,223306826.0,0.191236812
cm,kij, 70, 5.014800626850079,1332.0,8.6145e-05
cm,kij, 700, 3.26153882872673,345116591.0,0.210330165
cm,kij, 80, 5.014800626850079,1332.0,8.6145e-05
cm,kij, 800, 6.5224203262312095,32628946.0,0.156996935
cm,kij, 90, 2.7895123519147766,17642.0,0.000522672
cm,kij, 900, 2.263427008789258,785873574.0,0.644155961
cm,kji, 10, 0.45475216007276037,22.0,4.398e-06
cm,kji, 100, 2.7895123519147766,17642.0,0.000522672
cm,kji, 1000, 5.44026013757183,64550659.0,0.367629479
cm,kji, 20, 2.8875654214040787,51.0,5.541e-06
cm,kji, 200, 2.4375915620330493,523662.0,0.006563856
cm,kji, 2000, 1.0148874123764413,16026547413.0,15.765295544
cm,kji, 30, 2.8875654214040787,51.0,5.541e-06
cm,kji, 300, 2.279206896778772,1872307.0,0.023692452
cm,kji, 3000, 1.1832225571729635,54011468661.0,45.638075164
cm,kji, 40, 4.329150742381709,312.0,2.9567e-05
cm,kji, 400, 3.2213271993894583,64611916.0,0.039735175
cm,kji, 4000, 4.387656875250847,4324638687.0,29.172746101
cm,kji, 50, 4.329150742381709,312.0,2.9567e-05
cm,kji, 500, 5.320077006625049,8152912.0,0.046991801
cm,kji, 5000, 4.48179209665616,15771774547.0,55.781257722
cm,kji, 60, 5.014800626850079,1332.0,8.6145e-05
cm,kji, 600, 2.2589793015374044,223306826.0,0.191236812
cm,kji, 70, 5.014800626850079,1332.0,8.6145e-05
cm,kji, 700, 5.389937249580549,22279562.0,0.127274209
cm,kji, 80, 5.014800626850079,1332.0,8.6145e-05
cm,kji, 800, 5.391099242503174,33166813.0,0.18994271
cm,kji, 90, 2.7895123519147766,17642.0,0.000522672
cm,kji, 900, 5.423343920186708,47205369.0,0.268837828
rm,ijk, 10, 0.45475216007276037,22.0,4.398e-06
rm,ijk, 100, 2.7895123519147766,17642.0,0.000522672
rm,ijk, 1000, 5.423343920186708,47205369.0,0.268837828
rm,ijk, 20, 0.45475216007276037,22.0,4.398e-06
rm,ijk, 200, 2.4375915620330493,523662.0,0.006563856
rm,ijk, 2000, 1.8966842051383663,8589469756.0,8.435774367
rm,ijk, 30, 2.8875654214040787,51.0,5.541e-06
rm,ijk, 300, 2.4375915620330493,523662.0,0.006563856
rm,ijk, 3000, 1.580366732520124,28754012751.0,34.169284185
rm,ijk, 40, 2.8875654214040787,51.0,5.541e-06
rm,ijk, 400, 2.279206896778772,1872307.0,0.023692452
rm,ijk, 50, 4.329150742381709,312.0,2.9567e-05
rm,ijk, 500, 3.2213271993894583,64611916.0,0.039735175
rm,ijk, 60, 4.329150742381709,312.0,2.9567e-05
rm,ijk, 600, 5.320077006625049,8152912.0,0.046991801
rm,ijk, 70, 5.014800626850079,1332.0,8.6145e-05
rm,ijk, 700, 2.2589793015374044,223306826.0,0.191236812
rm,ijk, 80, 5.014800626850079,1332.0,8.6145e-05
rm,ijk, 800, 5.389937249580549,22279562.0,0.127274209
rm,ijk, 90, 2.7895123519147766,17642.0,0.000522672
rm,ijk, 900, 5.391099242503174,33166813.0,0.18994271
rm,ikj, 10, 0.45475216007276037,22.0,4.398e-06
rm,ikj, 100, 2.7895123519147766,17642.0,0.000522672
rm,ikj, 1000, 6.571023513826108,63642335.0,0.304366587
rm,ikj, 20, 0.45475216007276037,22.0,4.398e-06
rm,ikj, 200, 2.4375915620330493,523662.0,0.006563856
rm,ikj, 2000, 1.8966842051383663,8589469756.0,8.435774367
rm,ikj, 30, 2.8875654214040787,51.0,5.541e-06
rm,ikj, 300, 2.4375915620330493,523662.0,0.006563856
rm,ikj, 3000, 1.580366732520124,28754012751.0,34.169284185
rm,ikj, 40, 2.8875654214040787,51.0,5.541e-06
rm,ikj, 400, 2.279206896778772,1872307.0,0.023692452
rm,ikj, 4000, 5.694011769767438,6105218572.0,22.479756835
rm,ikj, 50, 4.329150742381709,312.0,2.9567e-05
rm,ikj, 500, 3.2213271993894583,64611916.0,0.039735175
rm,ikj, 5000, 6.120682722836508,11886215912.0,40.845116684
rm,ikj, 60, 4.329150742381709,312.0,2.9567e-05
rm,ikj, 600, 5.320077006625049,8152912.0,0.046991801
rm,ikj, 70, 5.014800626850079,1332.0,8.6145e-05
rm,ikj, 700, 6.418232600809968,21813739.0,0.106883007
rm,ikj, 80, 5.014800626850079,1332.0,8.6145e-05
rm,ikj, 800, 6.5339507687100555,32559115.0,0.156719883
rm,ikj, 90, 2.7895123519147766,17642.0,0.000522672
rm,ikj, 900, 6.5621157795133955,46472618.0,0.222184437
rm,jik, 10, 0.45475216007276037,22.0,4.398e-06
rm,jik, 100, 2.7895123519147766,17642.0,0.000522672
rm,jik, 1000, 6.571023513826108,63642335.0,0.304366587
rm,jik, 20, 0.45475216007276037,22.0,4.398e-06
rm,jik, 200, 2.4375915620330493,523662.0,0.006563856
rm,jik, 2000, 2.225093019620817,8603254544.0,7.190710617
rm,jik, 30, 2.8875654214040787,51.0,5.541e-06
rm,jik, 300, 2.4375915620330493,523662.0,0.006563856
rm,jik, 3000, 2.1221001398333286,28722848805.0,25.446490006
